emg_0,emg_1,emg_2,emg_3,emg_4,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
447,649,141,714,3812,0.08251953125,0.08544921875,-1.1517333984375,-0.25190839694656486,-3.900763358778626,0.22137404580152673
444,652,140,717,3813,0.087646484375,0.08349609375,-1.1483154296875,-0.3053435114503817,-3.8931297709923665,0.015267175572519083
442,656,140,721,3812,0.08447265625,0.08349609375,-1.1466064453125,-0.3816793893129771,-3.66412213740458,-0.06870229007633588
441,660,140,726,3812,0.079345703125,0.0869140625,-1.1505126953125,-0.5343511450381679,-3.877862595419847,-0.04580152671755725
439,663,140,730,3812,0.081787109375,0.085693359375,-1.1519775390625,-0.48091603053435117,-4.030534351145038,0.11450381679389313
438,666,139,730,3813,0.08349609375,0.087890625,-1.1512451171875,-0.4961832061068702,-3.7786259541984735,0.030534351145038167
438,669,138,729,3812,0.089599609375,0.08251953125,-1.1522216796875,-0.6641221374045801,-3.6793893129770994,0.03816793893129771
436,669,137,726,3812,0.08642578125,0.0830078125,-1.1488037109375,-0.732824427480916,-3.7557251908396947,0.29770992366412213
435,671,136,724,3813,0.08203125,0.08203125,-1.1497802734375,-0.8625954198473282,-3.8931297709923665,0.2595419847328244
434,673,136,720,3812,0.082275390625,0.080322265625,-1.1549072265625,-0.7862595419847328,-3.9236641221374047,0.05343511450381679
433,675,135,718,3812,0.084716796875,0.07958984375,-1.1593017578125,-0.8015267175572519,-3.8702290076335877,0.08396946564885496
430,677,135,719,3813,0.088134765625,0.0849609375,-1.1507568359375,-0.8396946564885496,-3.9160305343511452,-0.06870229007633588
429,679,135,720,3812,0.09033203125,0.081298828125,-1.1512451171875,-0.7938931297709924,-3.9618320610687023,0.04580152671755725
427,680,134,721,3812,0.09130859375,0.07666015625,-1.1492919921875,-0.8244274809160306,-3.8473282442748094,0.11450381679389313
425,681,134,721,3812,0.081298828125,0.08203125,-1.1529541015625,-0.7099236641221374,-3.7709923664122136,0.0916030534351145
423,683,133,721,3812,0.084228515625,0.082763671875,-1.1527099609375,-0.7480916030534351,-3.786259541984733,-0.030534351145038167
421,685,134,724,3813,0.082763671875,0.07763671875,-1.1446533203125,-0.7022900763358778,-3.8091603053435112,0.12213740458015267
419,687,134,726,3813,0.0810546875,0.079833984375,-1.1514892578125,-0.7633587786259542,-3.8473282442748094,0.21374045801526717
418,689,135,729,3813,0.0849609375,0.08251953125,-1.1517333984375,-0.7938931297709924,-3.9083969465648853,0.04580152671755725
417,690,135,731,3813,0.083984375,0.0830078125,-1.1583251953125,-0.9618320610687023,-3.9083969465648853,-0.09923664122137404
415,691,136,734,3812,0.083251953125,0.0859375,-1.1507568359375,-0.9312977099236641,-3.7709923664122136,-0.10687022900763359
414,692,137,735,3812,0.089599609375,0.083984375,-1.1483154296875,-0.9236641221374046,-3.8091603053435112,-0.08396946564885496
412,692,137,732,3813,0.087890625,0.08447265625,-1.1453857421875,-0.9847328244274809,-3.732824427480916,-0.06870229007633588
411,690,136,730,3813,0.091064453125,0.08740234375,-1.1475830078125,-0.8244274809160306,-3.6259541984732824,-0.022900763358778626
409,688,136,726,3813,0.086181640625,0.088623046875,-1.1549072265625,-0.8091603053435115,-3.6106870229007635,-0.08396946564885496
408,687,136,724,3813,0.08642578125,0.085205078125,-1.1575927734375,-0.8473282442748091,-3.6946564885496183,-0.05343511450381679
406,686,135,722,3813,0.08740234375,0.088623046875,-1.1539306640625,-0.8702290076335878,-3.7557251908396947,0.12213740458015267
405,686,135,721,3813,0.082763671875,0.0859375,-1.1514892578125,-0.9389312977099237,-3.66412213740458,0.11450381679389313
404,685,135,720,3812,0.08642578125,0.085693359375,-1.1573486328125,-1.1145038167938932,-3.8473282442748094,-0.061068702290076333
403,685,135,718,3812,0.08349609375,0.088134765625,-1.1619873046875,-1.083969465648855,-3.717557251908397,0.061068702290076333
401,684,135,717,3813,0.0859375,0.0869140625,-1.1505126953125,-1.0381679389312977,-3.6030534351145036,0.12213740458015267
401,683,134,715,3813,0.093505859375,0.091064453125,-1.1531982421875,-1.1908396946564885,-3.7404580152671754,0.0
398,684,134,716,3813,0.086181640625,0.082763671875,-1.1507568359375,-1.1297709923664123,-3.8931297709923665,-0.05343511450381679
397,685,134,717,3813,0.089599609375,0.080810546875,-1.1568603515625,-1.0305343511450382,-3.816793893129771,0.12213740458015267
395,686,134,719,3813,0.084716796875,0.085693359375,-1.1505126953125,-1.0381679389312977,-3.8244274809160306,0.022900763358778626
